Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 6513489 "," 5591827 "," 4798607 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -3846139 "," -4201182 "," -3477065 "
3.03," Resultado Bruto "," 2667350 "," 1390645 "," 1321542 "
3.04," Despesas/Receitas Operacionais "," -775348 "," -613982 "," -522717 "
3.04.01," Despesas com Vendas "," -412726 "," -323178 "," -295548 "
3.04.02," Despesas Gerais e Administrativas "," -366259 "," -290888 "," -227531 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 3591 "," 83 "," 362 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 46 "," 1 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1892002 "," 776663 "," 798825 "
3.06," Resultado Financeiro "," -464059 "," -278407 "," -367234 "
3.06.01," Receitas Financeiras "," 76768 "," 52859 "," 54825 "
3.06.02," Despesas Financeiras "," -540827 "," -331266 "," -422059 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1427943 "," 498256 "," 431591 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -424770 "," -112608 "," -93445 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 1003173 "," 385648 "," 338146 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 1003173 "," 385648 "," 338146 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1003173 "," 385648 "," 338146 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.98000 "," 0.76000 "," 0.75000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.96000 "," 0.75000 "," 0.74000 "
