Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 41 "," 0 "," 386 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4 "," 0 "," -38 "
3.03," Resultado Bruto "," 37 "," 0 "," 348 "
3.04," Despesas/Receitas Operacionais "," -363 "," -318 "," -306 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -369 "," -318 "," -326 "
3.04.02.01," Despesas Gerais e Administrativas "," -369 "," -318 "," -326 "
3.04.02.02," Despesas com Serviço Pessoa Juridica "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6 "," 0 "," 20 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -326 "," -318 "," 42 "
3.06," Resultado Financeiro "," -2 "," 25 "," 63 "
3.06.01," Receitas Financeiras "," 9 "," 27 "," 73 "
3.06.02," Despesas Financeiras "," -11 "," -2 "," -10 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -328 "," -293 "," 105 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 0 "," -20 "
3.08.01," Corrente "," 0 "," 0 "," -20 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -328 "," -293 "," 85 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -328 "," -293 "," 85 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.27545 "," -0.32916 "," 0.09551 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.27545 "," -0.32916 "," 0.09551 "
