Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 352596 "," 209993 "," 175153 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -217831 "," -138430 "," -117288 "
3.02.01," Custo dos Serviços Prestados "," -217831 "," -138430 "," -117288 "
3.02.02," Custos com Pesquisa e Desenvolvimento "," "," "," "
3.03," Resultado Bruto "," 134765 "," 71563 "," 57865 "
3.04," Despesas/Receitas Operacionais "," -112443 "," -64607 "," -60122 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -112443 "," -64607 "," -58738 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -1384 "
3.04.05.01," Publicidade e Propaganda "," "," "," "
3.04.05.02," Depreciação e Amortização "," "," "," "
3.04.05.03," Outras Despesas Operacionais "," 0 "," 0 "," -1384 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 22322 "," 6956 "," -2257 "
3.06," Resultado Financeiro "," 2653 "," -156 "," -5435 "
3.06.01," Receitas Financeiras "," 25205 "," 9728 "," 6423 "
3.06.02," Despesas Financeiras "," -22552 "," -9884 "," -11858 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 24975 "," 6800 "," -7692 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -2446 "," -1844 "," 3131 "
3.08.01," Corrente "," -21850 "," -4447 "," -3174 "
3.08.02," Diferido "," 19404 "," 2603 "," 6305 "
3.09," Resultado Líquido das Operações Continuadas "," 22529 "," 4956 "," -4561 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," 0 "," -18 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 22529 "," 4956 "," -4579 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 4956 "," -4579 "
3.11.02," Atribuído a Sócios Não Controladores "," -2350 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.26600 "," 0.07000 "," -0.09000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.26400 "," 0.06900 "," -0.09000 "
