Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1058152 "," 747128 "," 898502 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -722455 "," -411144 "," -580295 "
3.03," Resultado Bruto "," 335697 "," 335984 "," 318207 "
3.04," Despesas/Receitas Operacionais "," -228406 "," -169092 "," -125729 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -238317 "," -176515 "," -138257 "
3.04.02.01," Despesas comerciais, administrativas e gerais "," -238317 "," -176515 "," -138257 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2528 "," 1608 "," 760 "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -1863 "
3.04.06," Resultado de Equivalência Patrimonial "," 7383 "," 5815 "," 13631 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 107291 "," 166892 "," 192478 "
3.06," Resultado Financeiro "," -244887 "," -150429 "," -115668 "
3.06.01," Receitas Financeiras "," 155620 "," 23926 "," 31003 "
3.06.02," Despesas Financeiras "," -400507 "," -174355 "," -146671 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -137596 "," 16463 "," 76810 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 142272 "," -21168 "," -32086 "
3.08.01," Corrente "," -17379 "," -25239 "," -20689 "
3.08.02," Diferido "," 159651 "," 4071 "," -11397 "
3.09," Resultado Líquido das Operações Continuadas "," 4676 "," -4705 "," 44724 "
3.10," Resultado Líquido de Operações Descontinuadas "," -52476 "," 0 "," 0 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -47800 "," -4705 "," 44724 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -48852 "," -6119 "," 42313 "
3.11.02," Atribuído a Sócios Não Controladores "," 1052 "," 1414 "," 2411 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00028 "," -0.02362 "," 0.23940 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
3.99.02.02," PN "," "," "," "
