Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 917215 "," 815830 "," 697134 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -623484 "," -649020 "," -575263 "
3.03," Resultado Bruto "," 293731 "," 166810 "," 121871 "
3.04," Despesas/Receitas Operacionais "," -85719 "," -82619 "," -88514 "
3.04.01," Despesas com Vendas "," -18677 "," -10944 "," -16833 "
3.04.02," Despesas Gerais e Administrativas "," -66350 "," -62340 "," -52154 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -692 "," -9335 "," -19527 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 208012 "," 84191 "," 33357 "
3.06," Resultado Financeiro "," -157885 "," -89459 "," -164530 "
3.06.01," Receitas Financeiras "," 21164 "," 98864 "," 33109 "
3.06.02," Despesas Financeiras "," -179049 "," -188323 "," -197639 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 50127 "," -5268 "," -131173 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -14688 "," -348 "," 43668 "
3.08.01," Corrente "," -477 "," -9638 "," -34 "
3.08.02," Diferido "," -14211 "," 9290 "," 43702 "
3.09," Resultado Líquido das Operações Continuadas "," 35439 "," -5616 "," -87505 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 35439 "," -5616 "," -87505 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 35439 "," -5616 "," -87505 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.08882 "," -0.01510 "," -0.39000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.08641 "," -0.01510 "," -0.39000 "
