Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1257153 "," 812473 "," 868879 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -60265 "," -42103 "," -47063 "
3.03," Resultado Bruto "," 1196888 "," 770370 "," 821816 "
3.04," Despesas/Receitas Operacionais "," -2177790 "," -2233009 "," -1705069 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2253167 "," -2210644 "," -1711543 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 75377 "," -22365 "," 6474 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -980902 "," -1462639 "," -883253 "
3.06," Resultado Financeiro "," 743512 "," 1346286 "," 877399 "
3.06.01," Receitas Financeiras "," 917485 "," 1560737 "," 1091301 "
3.06.02," Despesas Financeiras "," -173973 "," -214451 "," -213902 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -237390 "," -116353 "," -5854 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," -1389 "," -25186 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -237390 "," -117742 "," -31040 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -237390 "," -117742 "," -31040 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
