Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1769719 "," 1102141 "," 1014375 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1166936 "," -695184 "," -616958 "
3.03," Resultado Bruto "," 602783 "," 406957 "," 397417 "
3.04," Despesas/Receitas Operacionais "," 592550 "," 131780 "," -11299 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -102139 "," -60718 "," -40592 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 693569 "," 183005 "," 2936 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 1120 "," 9493 "," 26357 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1195333 "," 538737 "," 386118 "
3.06," Resultado Financeiro "," -703230 "," -417718 "," -320299 "
3.06.01," Receitas Financeiras "," 42990 "," 23698 "," 24662 "
3.06.02," Despesas Financeiras "," -746220 "," -441416 "," -344961 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 492103 "," 121019 "," 65819 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -195730 "," -56491 "," -33190 "
3.08.01," Corrente "," -195730 "," -56491 "," -33190 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 296373 "," 64528 "," 32629 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 296373 "," 64528 "," 32629 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 306097 "," 59161 "," 27149 "
3.11.02," Atribuído a Sócios Não Controladores "," -7624 "," 5367 "," 5480 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.63450 "," 0.33370 "," 0.19210 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.63450 "," 0.32890 "," 0.19000 "
