Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 426558 "," 337136 "," 441800 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -437327 "," -310922 "," -402771 "
3.03," Resultado Bruto "," -10769 "," 26214 "," 39029 "
3.04," Despesas/Receitas Operacionais "," -12623 "," -59041 "," -38130 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -12623 "," -59041 "," -38130 "
3.04.05.01," Despesas Gerais e Administrativas "," -12791 "," -59039 "," -38305 "
3.04.05.02," Outras Despesas/Receitas Líquidas "," 168 "," -2 "," 175 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -23392 "," -32827 "," 899 "
3.06," Resultado Financeiro "," -30167 "," -23213 "," -9138 "
3.06.01," Receitas Financeiras "," 1946 "," 1319 "," 1916 "
3.06.02," Despesas Financeiras "," -32113 "," -24532 "," -11054 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -53559 "," -56040 "," -8239 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -923 "," 902 "," 2728 "
3.08.01," Corrente "," -635 "," -1478 "," -1208 "
3.08.02," Diferido "," -288 "," 2380 "," 3936 "
3.09," Resultado Líquido das Operações Continuadas "," -54482 "," -55138 "," -5511 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -54482 "," -55138 "," -5511 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.07057 "," -0.09311 "," -0.01462 "
3.99.02," Lucro Diluído por Ação "," "," "," "
