Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4249639 "," 2787307 "," 2861345 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -235649 "," 0 "," 0 "
3.03," Resultado Bruto "," 4013990 "," 2787307 "," 2861345 "
3.04," Despesas/Receitas Operacionais "," -4119054 "," -3381112 "," -3235579 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -4252801 "," -3591830 "," -3276769 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 133747 "," 210718 "," 41190 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -105064 "," -593805 "," -374234 "
3.06," Resultado Financeiro "," 645107 "," 686798 "," 541992 "
3.06.01," Receitas Financeiras "," 837351 "," 805898 "," 663973 "
3.06.02," Despesas Financeiras "," -192244 "," -119100 "," -121981 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 540043 "," 92993 "," 167758 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -159615 "," -39601 "," -37209 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 380428 "," 53392 "," 130549 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 380428 "," 53392 "," 130549 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.00000 "," 0.53392 "," 1.30540 "
3.99.02," Lucro Diluído por Ação "," "," "," "
