Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 60063 "," 41127 "," 166480 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -77560 "," -62615 "," -124993 "
3.03," Resultado Bruto "," -17497 "," -21488 "," 41487 "
3.04," Despesas/Receitas Operacionais "," -54 "," -13566 "," -29799 "
3.04.01," Despesas com Vendas "," -2763 "," -1872 "," -2464 "
3.04.02," Despesas Gerais e Administrativas "," -17335 "," -16518 "," -32209 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -152 "," -336 "," -227 "
3.04.04," Outras Receitas Operacionais "," 20196 "," 8600 "," 5238 "
3.04.05," Outras Despesas Operacionais "," 0 "," -3440 "," -137 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -17551 "," -35054 "," 11688 "
3.06," Resultado Financeiro "," -16391 "," -11191 "," -9310 "
3.06.01," Receitas Financeiras "," 1841 "," 3355 "," 7835 "
3.06.02," Despesas Financeiras "," -18232 "," -14546 "," -17145 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -33942 "," -46245 "," 2378 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 5992 "," 1617 "," 322 "
3.08.01," Corrente "," -8 "," 0 "," -787 "
3.08.02," Diferido "," 6000 "," 1617 "," 1109 "
3.09," Resultado Líquido das Operações Continuadas "," -27950 "," -44628 "," 2700 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -27950 "," -44628 "," 2700 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -27950 "," -44628 "," 2700 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.90251 "," -1.44105 "," 0.11000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.90251 "," -1.44105 "," 0.11000 "
