Conta," Descrição ","01/04/2021 a 31/03/2022 ","01/04/2020 a 31/03/2021 ","01/04/2019 a 31/03/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 421455 "," 337953 "," 244801 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -137369 "," -114392 "," -104238 "
3.03," Resultado Bruto "," 284086 "," 223561 "," 140563 "
3.04," Despesas/Receitas Operacionais "," -98826 "," -73368 "," -121172 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -95524 "," -80984 "," -71905 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -3302 "," 7616 "," -49267 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 185260 "," 150193 "," 19391 "
3.06," Resultado Financeiro "," 15593 "," 4514 "," 8331 "
3.06.01," Receitas Financeiras "," 21938 "," 12935 "," 16925 "
3.06.02," Despesas Financeiras "," -6345 "," -8421 "," -8594 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 200853 "," 154707 "," 27722 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -66850 "," -46309 "," -8331 "
3.08.01," Corrente "," -62198 "," -27895 "," -20830 "
3.08.02," Diferido "," -4652 "," -18414 "," 12499 "
3.09," Resultado Líquido das Operações Continuadas "," 134003 "," 108398 "," 19391 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 134003 "," 108398 "," 19391 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 134003 "," 108398 "," 19391 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 4178.00000 "," 33800000000000002.00000 "," 24182200000000002.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
