Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1985798 "," 1494012 "," 1353634 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1370072 "," -1088946 "," -945626 "
3.03," Resultado Bruto "," 615726 "," 405066 "," 408008 "
3.04," Despesas/Receitas Operacionais "," -256632 "," -204807 "," -172910 "
3.04.01," Despesas com Vendas "," -131716 "," -96231 "," -90512 "
3.04.02," Despesas Gerais e Administrativas "," -105650 "," -83715 "," -88729 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1502 "," 5068 "," 13848 "
3.04.05," Outras Despesas Operacionais "," -20768 "," -29929 "," -7517 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 359094 "," 200259 "," 235098 "
3.06," Resultado Financeiro "," -62315 "," -37401 "," -31992 "
3.06.01," Receitas Financeiras "," 21396 "," 25676 "," 16077 "
3.06.02," Despesas Financeiras "," -83711 "," -63077 "," -48069 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 296779 "," 162858 "," 203106 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -82786 "," -36247 "," -44702 "
3.08.01," Corrente "," -72142 "," -16088 "," -30939 "
3.08.02," Diferido "," -10644 "," -20159 "," -13763 "
3.09," Resultado Líquido das Operações Continuadas "," 213993 "," 126611 "," 158404 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 213993 "," 126611 "," 158404 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 213571 "," 126527 "," 158142 "
3.11.02," Atribuído a Sócios Não Controladores "," 422 "," 84 "," 262 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
