Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas da Intermediação Financeira "," 1977997 "," 1199953 "," 905972 "
3.01.01," Receitas de Juros "," 1435428 "," 942808 "," 775515 "
3.01.02," Receitas de Serviços e Comissões "," 542569 "," 257145 "," 130457 "
3.02," Despesas da Intermediação Financeira "," -643539 "," -255946 "," -313344 "
3.02.01," Despesas de Juros "," -543242 "," -184335 "," -256717 "
3.02.02," Despesas de Serviços e Comissões "," -100297 "," -71611 "," -56627 "
3.03," Resultado Bruto Intermediação Financeira "," 1334458 "," 944007 "," 592628 "
3.04," Outras Despesas/Receitas Operacionais "," -1550257 "," -951030 "," -591944 "
3.04.01," Receitas de Prestação de Serviços "," "," "," "
3.04.02," Despesas de Pessoal "," -443328 "," -229096 "," -169198 "
3.04.03," Outras Despesas Administrativas "," -1389949 "," -575770 "," -403772 "
3.04.03.01," Depreciação e Amortização "," -94250 "," -43659 "," -17463 "
3.04.03.02," Outras Receitas (Despesas) Administrativas "," -1295699 "," -532111 "," -386309 "
3.04.04," Despesas Tributárias "," "," "," "
3.04.05," Outras Receitas Operacionais "," 887365 "," 67524 "," 119596 "
3.04.05.01," Resultado de Títulos e Valores Mobiliários "," 745613 "," 12060 "," 62518 "
3.04.05.02," Resultado de Instrumentos Financeiros Derivativos "," -48330 "," -54418 "," 4235 "
3.04.05.03," Outras Receitas "," 190082 "," 109882 "," 52843 "
3.04.06," Outras Despesas Operacionais "," -595581 "," -213688 "," -138570 "
3.04.06.01," Resultado de Perdas por Redução ao Valor Recuperável de Ativos Financeiros "," -595581 "," -213688 "," -138570 "
3.04.07," Resultado da Equivalência Patrimonial "," -8764 "," 0 "," 0 "
3.05," Resultado Antes dos Tributos sobre o Lucro "," -215799 "," -7023 "," 684 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," 177449 "," 37709 "," 29686 "
3.06.01," Corrente "," -50985 "," -13166 "," -5859 "
3.06.02," Diferido "," 228434 "," 50875 "," 35545 "
3.07," Resultado Líquido das Operações Continuadas "," -38350 "," 30686 "," 30370 "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.08.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.08.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.09," Lucro/Prejuízo Consolidado do Período "," -38350 "," 30686 "," 30370 "
3.09.01," Atribuído a Sócios da Empresa Controladora "," -72663 "," 17911 "," 27683 "
3.09.02," Atribuído a Sócios Não Controladores "," 17597 "," 12775 "," 2687 "
3.99," Lucro por Ação - (R$ / Ação) "," -0.02800 "," 0.00800 "," 0.00800 "
3.99.01," Lucro Básico por Ação "," -0.01400 "," 0.00400 "," 0.00400 "
3.99.01.01," PN "," -0.01430 "," 0.00380 "," 0.00380 "
3.99.02," Lucro Diluído por Ação "," -0.01400 "," 0.00400 "," 0.00400 "
3.99.02.01," PN "," -0.01430 "," 0.00380 "," 0.00380 "
