Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 13819 "," 5611 "," 2944 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -625 "," -627 "," -127 "
3.03," Resultado Bruto "," 13194 "," 4984 "," 2817 "
3.04," Despesas/Receitas Operacionais "," -226 "," -213 "," -2260 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -226 "," -213 "," -908 "
3.04.02.01," Despesas Gerais e Administrativas "," -196 "," -156 "," -867 "
3.04.02.02," Despesas Tributarias "," -30 "," -57 "," -41 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," 0 "," -1551 "
3.04.03.01," Provisão para redução ao valor recuperável "," 6916 "," 13293 "," 300 "
3.04.03.02," Provisão de remuneração dos debenturistas "," -6916 "," -13293 "," -300 "
3.04.03.03," Provisão para Perdas na Operação "," 0 "," 0 "," -1551 "
3.04.04," Outras Receitas Operacionais "," 0 "," 0 "," 199 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 12968 "," 4771 "," 557 "
3.06," Resultado Financeiro "," -12968 "," -4771 "," -557 "
3.06.01," Receitas Financeiras "," 1690 "," 1413 "," 195 "
3.06.02," Despesas Financeiras "," -14658 "," -6184 "," -752 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," "," "," "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," "," "," "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
