Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 178098 "," 120638 "," 137640 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -97654 "," -68874 "," -77034 "
3.03," Resultado Bruto "," 80444 "," 51764 "," 60606 "
3.04," Despesas/Receitas Operacionais "," -50208 "," -45634 "," -47472 "
3.04.01," Despesas com Vendas "," -19055 "," -13692 "," -16687 "
3.04.02," Despesas Gerais e Administrativas "," -40086 "," -30584 "," -29516 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 11084 "," 821 "," -608 "
3.04.05," Outras Despesas Operacionais "," -2898 "," -2574 "," -1106 "
3.04.05.01," Depreciação e Amortização "," -2898 "," -2574 "," -1106 "
3.04.06," Resultado de Equivalência Patrimonial "," 747 "," 395 "," 445 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 30236 "," 6130 "," 13134 "
3.06," Resultado Financeiro "," -3966 "," -2021 "," -4362 "
3.06.01," Receitas Financeiras "," 7069 "," 9000 "," 4294 "
3.06.02," Despesas Financeiras "," -11035 "," -11021 "," -8656 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 26270 "," 4109 "," 8772 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -6389 "," 761 "," -742 "
3.08.01," Corrente "," -3363 "," -346 "," -1872 "
3.08.02," Diferido "," -3026 "," 1107 "," 1130 "
3.09," Resultado Líquido das Operações Continuadas "," 19881 "," 4870 "," 8030 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 19881 "," 4870 "," 8030 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 19881 "," 4870 "," 8030 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 5.33250 "," 1.30623 "," 2.15000 "
3.99.01.02," PN "," 5.33250 "," 1.30623 "," 2.15000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 5.33250 "," 1.30623 "," 2.15000 "
3.99.02.02," PN "," 5.33250 "," 1.30623 "," 2.15000 "
