Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 971081 "," 506085 "," 625983 "
3.01.01," Receita na infraestrutura, operação e manutenção, ganho de eficiência na implementação da infraestru "," 786972 "," 394746 "," 570666 "
3.01.02," Remuneração dos ativos da concessão, líquidas "," 184109 "," 111339 "," 55317 "
3.01.03," Impostos e outras deduções "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -614241 "," -284878 "," -366987 "
3.03," Resultado Bruto "," 356840 "," 221207 "," 258996 "
3.04," Despesas/Receitas Operacionais "," -4231 "," -5561 "," -2270 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -6853 "," -3082 "," -2270 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2631 "," 0 "," 0 "
3.04.05," Outras Despesas Operacionais "," -9 "," -2479 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 352609 "," 215646 "," 256726 "
3.06," Resultado Financeiro "," -91899 "," -18755 "," -13579 "
3.06.01," Receitas Financeiras "," 4966 "," 2374 "," 6346 "
3.06.02," Despesas Financeiras "," -96865 "," -21129 "," -19925 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 260710 "," 196891 "," 243147 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -79488 "," -21358 "," 1345 "
3.08.01," Corrente "," -18925 "," -7763 "," -49 "
3.08.02," Diferido "," -60563 "," -13595 "," 1394 "
3.09," Resultado Líquido das Operações Continuadas "," 181222 "," 175533 "," 244492 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 181222 "," 175533 "," 244492 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 181228 "," 175531 "," 244482 "
3.11.02," Atribuído a Sócios Não Controladores "," -6 "," 2 "," 10 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 5.13000 "," 5.37000 "," 7.99000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
