Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1366407 "," 1181804 "," 977501 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -700473 "," -625839 "," -547435 "
3.03," Resultado Bruto "," 665934 "," 555965 "," 430066 "
3.04," Despesas/Receitas Operacionais "," -209310 "," -166834 "," -128590 "
3.04.01," Despesas com Vendas "," -103433 "," -82506 "," -64677 "
3.04.02," Despesas Gerais e Administrativas "," -98336 "," -78850 "," -62512 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -2128 "," -545 "," 189 "
3.04.03.01," Perda esperada por redução ao valor recuperável de contas a receber "," -2128 "," -545 "," 189 "
3.04.04," Outras Receitas Operacionais "," 0 "," -4933 "," -1590 "
3.04.05," Outras Despesas Operacionais "," -5413 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 456624 "," 389131 "," 301476 "
3.06," Resultado Financeiro "," 25844 "," -35490 "," -15113 "
3.06.01," Receitas Financeiras "," 56845 "," 8184 "," 7741 "
3.06.02," Despesas Financeiras "," -31001 "," -43674 "," -22854 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 482468 "," 353641 "," 286363 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -158604 "," -99311 "," -86125 "
3.08.01," Corrente "," -124485 "," -106308 "," -88756 "
3.08.02," Diferido "," -34119 "," 6997 "," 2631 "
3.09," Resultado Líquido das Operações Continuadas "," 323864 "," 254330 "," 200238 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 323864 "," 254330 "," 200238 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 325222 "," 254330 "," 200238 "
3.11.02," Atribuído a Sócios Não Controladores "," -1358 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.89000 "," 1.72000 "," 1.35300 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.89000 "," 1.72000 "," 1.32640 "
