Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1356199 "," 1002017 "," 608880 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1241362 "," -879825 "," -553832 "
3.03," Resultado Bruto "," 114837 "," 122192 "," 55048 "
3.04," Despesas/Receitas Operacionais "," -93991 "," -87945 "," -29607 "
3.04.01," Despesas com Vendas "," -25188 "," -22837 "," -2639 "
3.04.02," Despesas Gerais e Administrativas "," -100654 "," -71415 "," -30178 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -456 "," -677 "," -763 "
3.04.04," Outras Receitas Operacionais "," 43638 "," 19708 "," 3973 "
3.04.05," Outras Despesas Operacionais "," -11331 "," -12724 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 20846 "," 34247 "," 25441 "
3.06," Resultado Financeiro "," -47126 "," -25626 "," -21444 "
3.06.01," Receitas Financeiras "," 10154 "," 6256 "," 6429 "
3.06.02," Despesas Financeiras "," -57280 "," -31882 "," -27873 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -26280 "," 8621 "," 3997 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 38303 "," 278 "," 9749 "
3.08.01," Corrente "," 10642 "," -11665 "," -4886 "
3.08.02," Diferido "," 27661 "," 11943 "," 14635 "
3.09," Resultado Líquido das Operações Continuadas "," 12023 "," 8899 "," 13746 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 12023 "," 8899 "," 13746 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 12023 "," 8899 "," 13746 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.29500 "," 0.21830 "," 0.37120 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.29500 "," 0.21830 "," 0.37120 "
