Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1466386885 "," 1047547041 "," 749666952 "
3.01.01," Receita líquida de vendas de mercadorias e serviços prestados "," 1466386885 "," 1047547041 "," 749666952 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -474909083 "," -330063751 "," -215869110 "
3.02.01," custos das mercadorias vendidas e dos serviços prestados "," -474909083 "," -330063751 "," -215869110 "
3.03," Resultado Bruto "," 991477802 "," 717483290 "," 533797842 "
3.04," Despesas/Receitas Operacionais "," -696791351 "," -512404654 "," -240875303 "
3.04.01," Despesas com Vendas "," -502414774 "," -365295739 "," -224147606 "
3.04.01.01," Com vendas "," -502414774 "," -365295739 "," -224147606 "
3.04.02," Despesas Gerais e Administrativas "," -185038413 "," -153676390 "," -121398384 "
3.04.02.01," Gerais e administrativas "," -185038413 "," -153676390 "," -121398384 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -9292068 "," 6692785 "," 104838499 "
3.04.04.01," Outras receitas operacionais "," -9292068 "," 6692785 "," 104838499 "
3.04.05," Outras Despesas Operacionais "," -46096 "," -125310 "," -79365 "
3.04.05.01," Outras despesas operacionais "," -46096 "," -125310 "," -79365 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," 0 "," -88447 "
3.04.06.01," Resultado de equivalência patrimonial "," 0 "," 0 "," -88447 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 294686451 "," 205078636 "," 292922539 "
3.06," Resultado Financeiro "," -31509470 "," -41541899 "," 24320195 "
3.06.01," Receitas Financeiras "," 37602401 "," 23632100 "," 64709275 "
3.06.01.01," Receitas financeiras "," 37602401 "," 23632100 "," 64709275 "
3.06.02," Despesas Financeiras "," -69111871 "," -65173999 "," -40389080 "
3.06.02.01," Despesas financeiras "," -69111871 "," -65173999 "," -40389080 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 263176981 "," 163536737 "," 317242734 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 35313290 "," -16864628 "," -59271398 "
3.08.01," Corrente "," -9173701 "," -17625502 "," -60151083 "
3.08.02," Diferido "," 44486991 "," 760874 "," 879685 "
3.09," Resultado Líquido das Operações Continuadas "," 298490271 "," 146672109 "," 257971336 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 298490271 "," 146672109 "," 257971336 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 298490271 "," 146672109 "," 257971336 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.26373 "," 0.62097 "," 0.80318 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.26365 "," 0.62097 "," 0.80318 "
