Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2115090 "," 2091103 "," 1719921 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1068203 "," -1241612 "," -1131953 "
3.03," Resultado Bruto "," 1046887 "," 849491 "," 587968 "
3.04," Despesas/Receitas Operacionais "," -226187 "," -103558 "," -98803 "
3.04.01," Despesas com Vendas "," -149062 "," -80172 "," -54437 "
3.04.02," Despesas Gerais e Administrativas "," -75601 "," -35754 "," -34899 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 12368 "," 0 "
3.04.05," Outras Despesas Operacionais "," -1524 "," 0 "," -9458 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," 0 "," -9 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 820700 "," 745933 "," 489165 "
3.06," Resultado Financeiro "," -30620 "," -154041 "," -169773 "
3.06.01," Receitas Financeiras "," 51826 "," 23934 "," 39744 "
3.06.02," Despesas Financeiras "," -82446 "," -177975 "," -209517 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 790080 "," 591892 "," 319392 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -263283 "," -195226 "," -103347 "
3.08.01," Corrente "," -103821 "," -178245 "," -103995 "
3.08.02," Diferido "," -159462 "," -16981 "," 648 "
3.09," Resultado Líquido das Operações Continuadas "," 526797 "," 396666 "," 216045 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 526797 "," 396666 "," 216045 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 526797 "," 396666 "," 216045 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 5.10065 "," 3.84067 "," 2.09183 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 5.10065 "," 3.84067 "," 2.09183 "
