Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 382853 "," 271405 "," 123661 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -168525 "," -157318 "," -65787 "
3.03," Resultado Bruto "," 214328 "," 114087 "," 57874 "
3.04," Despesas/Receitas Operacionais "," -74033 "," -55409 "," -36564 "
3.04.01," Despesas com Vendas "," -81021 "," -33535 "," -23754 "
3.04.02," Despesas Gerais e Administrativas "," -38927 "," -26308 "," -13260 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 45915 "," 4434 "," 450 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 140295 "," 58678 "," 21310 "
3.06," Resultado Financeiro "," -12848 "," -16077 "," -13691 "
3.06.01," Receitas Financeiras "," 11798 "," 8262 "," 945 "
3.06.02," Despesas Financeiras "," -24646 "," -24339 "," -14636 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 127447 "," 42601 "," 7619 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -25635 "," -10529 "," 10656 "
3.08.01," Corrente "," -18590 "," -14276 "," -2 "
3.08.02," Diferido "," -7045 "," 3747 "," 10658 "
3.09," Resultado Líquido das Operações Continuadas "," 101812 "," 32072 "," 18275 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 101812 "," 32072 "," 18275 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 102759 "," 32763 "," 18468 "
3.11.02," Atribuído a Sócios Não Controladores "," -947 "," -691 "," -193 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 39.88410 "," 12.71640 "," 7.16800 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 39.88410 "," 12.71640 "," 7.16800 "
