Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 587311 "," 618309 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -531448 "," -501219 "
3.02.01," Combustível para produção de energia elétrica "," -125551 "," -111051 "
3.02.02," Depreciação e amortização "," -120186 "," -110908 "
3.02.03," Energia elétrica comprada "," -98892 "," -108142 "
3.02.04," Materiais e serviços de terceiros "," -74789 "," -77074 "
3.02.05," Encargos de uso de rede elétrica e de conexão "," -38915 "," -42231 "
3.02.06," Pessoal "," -27738 "," -24544 "
3.02.07," Transações no mercado de energia de curto prazo "," -23812 "," -6340 "
3.02.10," Outros "," -21565 "," -20929 "
3.03," Resultado Bruto "," 55863 "," 117090 "
3.04," Despesas/Receitas Operacionais "," -775 "," -2264 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1574 "," -2486 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 799 "," 222 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 55088 "," 114826 "
3.06," Resultado Financeiro "," -220183 "," -86002 "
3.06.01," Receitas Financeiras "," 11426 "," 6978 "
3.06.02," Despesas Financeiras "," -231609 "," -92980 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -165095 "," 28824 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 55944 "," -6689 "
3.08.01," Corrente "," 331 "," 337 "
3.08.02," Diferido "," 55613 "," -7026 "
3.09," Resultado Líquido das Operações Continuadas "," -109151 "," 22135 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -109151 "," 22135 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0.10138 "," 0.01131 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0.10138 "," 0.01131 "
