Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2033606 "," 1621164 "," 1344032 "
3.01.01," Venda de mercadorias "," 1482386 "," 1182733 "," 934944 "
3.01.02," Serviços prestados "," 551220 "," 438431 "," 409088 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1239663 "," -951361 "," -801991 "
3.03," Resultado Bruto "," 793943 "," 669803 "," 542041 "
3.04," Despesas/Receitas Operacionais "," -629998 "," -516235 "," -428059 "
3.04.01," Despesas com Vendas "," -429187 "," -346436 "," -287673 "
3.04.02," Despesas Gerais e Administrativas "," -188390 "," -151780 "," -125629 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -12421 "," -18019 "," -14757 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 163945 "," 153568 "," 113982 "
3.06," Resultado Financeiro "," -71696 "," -55126 "," -66458 "
3.06.01," Receitas Financeiras "," 43292 "," 19022 "," 16020 "
3.06.02," Despesas Financeiras "," -114988 "," -74148 "," -82478 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 92249 "," 98442 "," 47524 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -24022 "," -30576 "," -17402 "
3.08.01," Corrente "," -16929 "," -29859 "," -15310 "
3.08.02," Diferido "," -7093 "," -717 "," -2092 "
3.09," Resultado Líquido das Operações Continuadas "," 68227 "," 67866 "," 30122 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 68227 "," 67866 "," 30122 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 68227 "," 67866 "," 30122 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.36428 "," 0.41164 "," 0.18831 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.36248 "," 0.41115 "," 0.18831 "
