Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 12330209 "," 9093170 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -9200224 "," -6434190 "
3.03," Resultado Bruto "," 3129985 "," 2658980 "
3.04," Despesas/Receitas Operacionais "," -1157093 "," -975430 "
3.04.01," Despesas com Vendas "," -125412 "," -454131 "
3.04.02," Despesas Gerais e Administrativas "," -1057250 "," -577475 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 25569 "," 56176 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1972892 "," 1683550 "
3.06," Resultado Financeiro "," -289616 "," -282773 "
3.06.01," Receitas Financeiras "," 703204 "," 72500 "
3.06.01.01," Receitas Financeiras "," 703204 "," 72500 "
3.06.01.02," Variação Cambial "," "," "
3.06.02," Despesas Financeiras "," -992820 "," -355273 "
3.06.02.01," Despesas Financeiras "," -900783 "," -374252 "
3.06.02.02," Derivativos "," -31084 "," 169206 "
3.06.02.03," Variação cambial "," -60953 "," -150227 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1683276 "," 1400777 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 59360 "," -460312 "
3.08.01," Corrente "," -151823 "," -558227 "
3.08.02," Diferido "," 211183 "," 97915 "
3.09," Resultado Líquido das Operações Continuadas "," 1742636 "," 940465 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 1742636 "," 940465 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1725111 "," 931265 "
3.11.02," Atribuído a Sócios Não Controladores "," 17525 "," 9200 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 2.63141 "," 1.48232 "
3.99.01.02," PN "," 2.63141 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 2.62198 "," 1.47332 "
3.99.02.02," PN "," 2.62198 "," 0.00000 "
