Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 469747 "," 378153 "," 318484 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -237040 "," -197702 "," -171536 "
3.03," Resultado Bruto "," 232707 "," 180451 "," 146948 "
3.04," Despesas/Receitas Operacionais "," -205284 "," -150648 "," -107389 "
3.04.01," Despesas com Vendas "," -27169 "," -20011 "," -15772 "
3.04.01.01," Provisão para redução de valor recuperável do contas a receber "," -13709 "," -9356 "," -6712 "
3.04.01.02," Despesas comerciais "," -13460 "," -10655 "," -9060 "
3.04.02," Despesas Gerais e Administrativas "," -180749 "," -137949 "," -99027 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2634 "," 7312 "," 7410 "
3.04.04.01," Outras receitas e despesas operacionais "," 2634 "," 7312 "," 7410 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 27423 "," 29803 "," 39559 "
3.06," Resultado Financeiro "," -39041 "," -26916 "," -25337 "
3.06.01," Receitas Financeiras "," 6799 "," 15246 "," 7692 "
3.06.02," Despesas Financeiras "," -45840 "," -42162 "," -33029 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -11618 "," 2887 "," 14222 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -16137 "," -8972 "," -5682 "
3.08.01," Corrente "," -15508 "," -4359 "," -5196 "
3.08.02," Diferido "," -629 "," -4613 "," -486 "
3.09," Resultado Líquido das Operações Continuadas "," -27755 "," -6085 "," 8540 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -27755 "," -6085 "," 8540 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -27926 "," -6088 "," 8530 "
3.11.02," Atribuído a Sócios Não Controladores "," 171 "," 3 "," 10 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.15802 "," -0.05596 "," -0.07850 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.15802 "," -0.05540 "," -0.07850 "
