Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 106140 "," 79607 "," 53677 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -78368 "," -48837 "," -36832 "
3.03," Resultado Bruto "," 27772 "," 30770 "," 16845 "
3.04," Despesas/Receitas Operacionais "," -162850 "," -59306 "," -37439 "
3.04.01," Despesas com Vendas "," -57197 "," -21967 "," -16726 "
3.04.02," Despesas Gerais e Administrativas "," -101876 "," -37394 "," -21089 "
3.04.02.01," Gerais e Administrativas "," -91392 "," -30615 "," -15982 "
3.04.02.02," Depreciação e Amortização "," -10484 "," -6779 "," -5107 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -3777 "," 55 "," 376 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -135078 "," -28536 "," -20594 "
3.06," Resultado Financeiro "," 16293 "," -2600 "," -191 "
3.06.01," Receitas Financeiras "," 21800 "," 2242 "," 1732 "
3.06.02," Despesas Financeiras "," -5507 "," -4842 "," -1923 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -118785 "," -31136 "," -20785 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 11 "," 28 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 0 "," 11 "," 28 "
3.09," Resultado Líquido das Operações Continuadas "," -118785 "," -31125 "," -20757 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -118785 "," -31125 "," -20757 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -118785 "," -31125 "," -20757 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.60299 "," -0.54205 "," -0.23170 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
