Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 33617 "," 39975 "," 33537 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -61586 "," -78498 "," -61692 "
3.03," Resultado Bruto "," -27969 "," -38523 "," -28155 "
3.04," Despesas/Receitas Operacionais "," -70866 "," -60497 "," 162824 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -69752 "," -72931 "," -63461 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -1114 "," 12434 "," 213470 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," 0 "," 12815 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -98835 "," -99020 "," 134669 "
3.06," Resultado Financeiro "," -77395 "," -75958 "," -57660 "
3.06.01," Receitas Financeiras "," 2307 "," 12349 "," 2126 "
3.06.02," Despesas Financeiras "," -79702 "," -88307 "," -59786 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -176230 "," -174978 "," 77009 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -176230 "," -174978 "," 77009 "
3.10," Resultado Líquido de Operações Descontinuadas "," 5038 "," 4814 "," 1556 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 5038 "," 4814 "," 1556 "
3.10.01.01," Imposto de renda e contribuição social diferidos "," 5038 "," 4814 "," 1556 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -171192 "," -170164 "," 78565 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -170345 "," -169142 "," 70400 "
3.11.02," Atribuído a Sócios Não Controladores "," -847 "," -1022 "," 8165 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -1.57530 "," -1.56420 "," 0.70240 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -1.57530 "," -1.56420 "," 0.70240 "
