Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 882243 "," 642582 "," 443215 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -725332 "," -517428 "," -363399 "
3.03," Resultado Bruto "," 156911 "," 125154 "," 79816 "
3.04," Despesas/Receitas Operacionais "," -125791 "," -54090 "," -39146 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -110376 "," -77817 "," -50053 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -4637 "," 0 "," 0 "
3.04.04," Outras Receitas Operacionais "," 5682 "," 23927 "," 7061 "
3.04.05," Outras Despesas Operacionais "," -21966 "," -4182 "," -839 "
3.04.06," Resultado de Equivalência Patrimonial "," 5506 "," 3982 "," 4685 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 31120 "," 71064 "," 40670 "
3.06," Resultado Financeiro "," -87248 "," -103344 "," -27936 "
3.06.01," Receitas Financeiras "," 83660 "," 56772 "," 1873 "
3.06.02," Despesas Financeiras "," -170908 "," -160116 "," -29809 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -56128 "," -32280 "," 12734 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 8750 "," 9470 "," -3118 "
3.08.01," Corrente "," -4530 "," -23210 "," -9380 "
3.08.02," Diferido "," 13280 "," 32680 "," 6262 "
3.09," Resultado Líquido das Operações Continuadas "," -47378 "," -22810 "," 9616 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -47378 "," -22810 "," 9616 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -22810 "," 9616 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.25000 "," -0.18000 "," 0.08000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.25000 "," -0.18000 "," 0.08000 "
