Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1472883 "," 499169 "," 0 "
3.01.01," Receita operacional líquida "," 1472883 "," 499169 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -962926 "," -329605 "," 0 "
3.02.01," Custos de incorporação e vendas imobiliárias "," -918690 "," -318932 "," 0 "
3.02.02," Outros custos "," -44236 "," -10673 "," 0 "
3.03," Resultado Bruto "," 509957 "," 169564 "," 0 "
3.04," Despesas/Receitas Operacionais "," -347866 "," -86922 "," -3 "
3.04.01," Despesas com Vendas "," -124904 "," -41132 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -164336 "," -44606 "," -3 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -69424 "," -10207 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 10798 "," 9023 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 162091 "," 82642 "," -3 "
3.06," Resultado Financeiro "," 2402 "," -373 "," 0 "
3.06.01," Receitas Financeiras "," 39068 "," 5724 "," 0 "
3.06.02," Despesas Financeiras "," -36666 "," -6097 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 164493 "," 82269 "," -3 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3750 "," -21739 "," 0 "
3.08.01," Corrente "," -32184 "," -12026 "," 0 "
3.08.02," Diferido "," 28434 "," -9713 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 160743 "," 60530 "," -3 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 160743 "," 60530 "," -3 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 152056 "," 59556 "," -3 "
3.11.02," Atribuído a Sócios Não Controladores "," 8687 "," 974 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.39830 "," 1.10720 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.37770 "," 1.08630 "," 0.00000 "
