Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 557858 "," 341101 "," 252752 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -292434 "," -181059 "," -131841 "
3.03," Resultado Bruto "," 265424 "," 160042 "," 120911 "
3.04," Despesas/Receitas Operacionais "," -239078 "," -159395 "," -123700 "
3.04.01," Despesas com Vendas "," -123759 "," -80231 "," -81751 "
3.04.02," Despesas Gerais e Administrativas "," -107926 "," -78702 "," -63857 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 0 "," 21908 "
3.04.05," Outras Despesas Operacionais "," -7393 "," -462 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 26345 "," 647 "," -2789 "
3.06," Resultado Financeiro "," -27544 "," -6970 "," 9841 "
3.06.01," Receitas Financeiras "," 11817 "," 9384 "," 6791 "
3.06.02," Despesas Financeiras "," -39361 "," -16354 "," 3050 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -1198 "," -6323 "," 7052 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," -2307 "," -288 "," 497 "
3.09," Resultado Líquido das Operações Continuadas "," "," "," "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -3506 "," -6611 "," 7549 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," "," "," "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.04052 "," -0.07795 "," 0.00010 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.04052 "," -0.07795 "," 0.00010 "
