Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 547477 "," 355199 "," 176462 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -412100 "," -235994 "," -116989 "
3.03," Resultado Bruto "," 135377 "," 119205 "," 59473 "
3.04," Despesas/Receitas Operacionais "," -102695 "," -73339 "," -45240 "
3.04.01," Despesas com Vendas "," -32475 "," -22597 "," -11776 "
3.04.02," Despesas Gerais e Administrativas "," -72261 "," -47332 "," -33504 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2041 "," -3410 "," 40 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 32682 "," 45866 "," 14233 "
3.06," Resultado Financeiro "," -1246 "," 3692 "," 13831 "
3.06.01," Receitas Financeiras "," 4374 "," 5600 "," 15336 "
3.06.02," Despesas Financeiras "," -5620 "," -1908 "," -1505 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 31436 "," 49558 "," 28064 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -11798 "," -8815 "," -6412 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 19638 "," 40743 "," 21652 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 19638 "," 40743 "," 21652 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 19518 "," 40960 "," 21397 "
3.11.02," Atribuído a Sócios Não Controladores "," 120 "," -217 "," 255 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.39000 "," 0.82000 "," 0.43000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.39000 "," 0.82000 "," 0.43000 "
