Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5339317 "," 3112439 "," 2225020 "
3.01.01," Receita líquida "," 5339317 "," 3112439 "," 2225020 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4638263 "," -2612260 "," -1910057 "
3.02.01," Custo das mercadorias e produtos vendidos "," -4638263 "," -2612260 "," -1910057 "
3.03," Resultado Bruto "," 701054 "," 500179 "," 314963 "
3.04," Despesas/Receitas Operacionais "," -347460 "," -172704 "," -167767 "
3.04.01," Despesas com Vendas "," -319965 "," -178161 "," -177172 "
3.04.01.01," Despesas com Vendas "," -319965 "," -178161 "," -177172 "
3.04.02," Despesas Gerais e Administrativas "," -55707 "," -19755 "," -16848 "
3.04.02.01," Despesas Gerais e Administrativas "," -55707 "," -19755 "," -16848 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 28212 "," 25212 "," 26253 "
3.04.04.01," Outras Receitas Operacionais "," 28212 "," 25212 "," 26253 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 353594 "," 327475 "," 147196 "
3.06," Resultado Financeiro "," 26243 "," -72032 "," -21027 "
3.06.01," Receitas Financeiras "," 207769 "," 106138 "," 68137 "
3.06.02," Despesas Financeiras "," -181526 "," -178170 "," -89164 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 379837 "," 255443 "," 126169 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 50469 "," -9180 "," -5350 "
3.08.01," Corrente "," -17791 "," -24491 "," 18 "
3.08.02," Diferido "," 68260 "," 15311 "," -5368 "
3.09," Resultado Líquido das Operações Continuadas "," 430306 "," 246263 "," 120819 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 430306 "," 246263 "," 120819 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.96500 "," 0.63000 "," 0.31000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.95380 "," 0.63000 "," 0.31000 "
