Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3152677 "," 2402608 "," 1893597 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2368312 "," -2104071 "," -1876454 "
3.03," Resultado Bruto "," 784365 "," 298537 "," 17143 "
3.04," Despesas/Receitas Operacionais "," -130926 "," -112363 "," -216487 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -269000 "," -217699 "," -202722 "
3.04.02.01," Despesas Administrativas e Comerciais "," -269000 "," -217699 "," -202722 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 138000 "," 105336 "," 0 "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -13765 "
3.04.06," Resultado de Equivalência Patrimonial "," 74 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 653439 "," 186174 "," -199344 "
3.06," Resultado Financeiro "," -125688 "," -198421 "," -281768 "
3.06.01," Receitas Financeiras "," 139192 "," 45092 "," 54527 "
3.06.02," Despesas Financeiras "," -264880 "," -243513 "," -336295 "
3.06.02.01," Despesas Financeiras "," -260085 "," -220359 "," -331277 "
3.06.02.02," Variação Cambial "," -4795 "," -23154 "," -5018 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 527751 "," -12247 "," -481112 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 786520 "," -11914 "," 109 "
3.08.01," Corrente "," -5976 "," -13064 "," 811 "
3.08.02," Diferido "," 792496 "," 1150 "," -702 "
3.09," Resultado Líquido das Operações Continuadas "," 1314271 "," -24161 "," -481003 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 1314271 "," -24161 "," -481003 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1224115 "," -98790 "," -553416 "
3.11.02," Atribuído a Sócios Não Controladores "," 90156 "," 74629 "," 72413 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.97000 "," -0.24000 "," -0.29000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
