Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 348926 "," 167086 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -150351 "," -54343 "," 0 "
3.03," Resultado Bruto "," 198575 "," 112743 "," 0 "
3.04," Despesas/Receitas Operacionais "," -129835 "," -65229 "," 0 "
3.04.01," Despesas com Vendas "," -50169 "," -11060 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -81162 "," -35211 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1419 "," -15167 "," 0 "
3.04.03.01," Perda por redução ao valor recuperável de contas areceber "," -1419 "," -15167 "," 0 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 2915 "," -3791 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 68740 "," 47514 "," 0 "
3.06," Resultado Financeiro "," -34652 "," -8194 "," 0 "
3.06.01," Receitas Financeiras "," 23298 "," 3404 "," 0 "
3.06.02," Despesas Financeiras "," -57950 "," -11598 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 34088 "," 39320 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3420 "," -12727 "," 0 "
3.08.01," Corrente "," -13589 "," -13218 "," 0 "
3.08.02," Diferido "," 10169 "," 491 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 30668 "," 26593 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 30668 "," 26593 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 25787 "," 26825 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," 4881 "," -232 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.44000 "," 0.78000 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.43000 "," 0.78000 "," 0.00000 "
