Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 91603 "," 40126 "," 5017 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -35618 "," -6310 "," -1419 "
3.03," Resultado Bruto "," 55985 "," 33816 "," 3598 "
3.04," Despesas/Receitas Operacionais "," -82795 "," -15764 "," -2984 "
3.04.01," Despesas com Vendas "," -18425 "," -6062 "," -1406 "
3.04.02," Despesas Gerais e Administrativas "," -66431 "," -9702 "," -1578 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2058 "," 0 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 3 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -26810 "," 18052 "," 614 "
3.06," Resultado Financeiro "," 9598 "," -241 "," -13 "
3.06.01," Receitas Financeiras "," 12277 "," 58 "," 6 "
3.06.02," Despesas Financeiras "," -2679 "," -299 "," -19 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -17212 "," 17811 "," 601 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 18413 "," -4656 "," -187 "
3.08.01," Corrente "," -1828 "," -4656 "," -187 "
3.08.02," Diferido "," 20241 "," 0 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 1201 "," 13155 "," 414 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1201 "," 13155 "," 414 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," "," "," "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.00494 "," 0.10320 "," 0.01030 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00482 "," 0.10320 "," 0.01030 "
