Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 151022 "," 89649 "," 78317 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -81237 "," -44477 "," -44622 "
3.03," Resultado Bruto "," 69785 "," 45172 "," 33695 "
3.04," Despesas/Receitas Operacionais "," -52337 "," -29191 "," -29136 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -45242 "," -21546 "," -21506 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -7522 "," -8140 "," -8707 "
3.04.05," Outras Despesas Operacionais "," -102 "," 19 "," 966 "
3.04.06," Resultado de Equivalência Patrimonial "," 529 "," 476 "," 111 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 17448 "," 15981 "," 4559 "
3.06," Resultado Financeiro "," -2143 "," -620 "," -1168 "
3.06.01," Receitas Financeiras "," 868 "," 533 "," 719 "
3.06.02," Despesas Financeiras "," -3011 "," -1153 "," -1887 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 15305 "," 15361 "," 3391 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -5305 "," -5426 "," -24 "
3.08.01," Corrente "," -4662 "," -3846 "," -583 "
3.08.02," Diferido "," -643 "," -1580 "," 559 "
3.09," Resultado Líquido das Operações Continuadas "," 10000 "," 9935 "," 3367 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 10000 "," 9935 "," 3367 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 9972 "," 0 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," 28 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.19230 "," 0.19110 "," 0.06480 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.19230 "," 0.19110 "," 0.06480 "
