Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 131171 "," 116605 "," 92724 "
3.01.01," Receita líquida de vendas "," 131171 "," 116605 "," 92724 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -80419 "," -72063 "," -50404 "
3.02.01," Custo do serviço de energia elétrica "," -80419 "," -72063 "," -58404 "
3.03," Resultado Bruto "," 50752 "," 44542 "," 0 "
3.04," Despesas/Receitas Operacionais "," -14338 "," -14192 "," -5866 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -14338 "," -14192 "," -5866 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 36414 "," 30350 "," 0 "
3.06," Resultado Financeiro "," -46805 "," -23482 "," -27559 "
3.06.01," Receitas Financeiras "," 3153 "," 1427 "," 2298 "
3.06.02," Despesas Financeiras "," -49958 "," -24909 "," -29857 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -10391 "," 6868 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -5336 "," -4096 "," -4152 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -15727 "," 2772 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -15727 "," 2772 "," -3257 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -15727 "," 2772 "," -3257 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.09000 "," 0.02000 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.09000 "," 0.02000 "," 0.00000 "
