Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8473369 "," 6391739 "
3.01.01," Receita líquida "," "," "
3.01.02," Deduções da Receita Bruta "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -7195898 "," -5427939 "
3.03," Resultado Bruto "," 1277471 "," 963800 "
3.04," Despesas/Receitas Operacionais "," -753731 "," -482636 "
3.04.01," Despesas com Vendas "," -17807 "," -15941 "
3.04.02," Despesas Gerais e Administrativas "," -274581 "," -237440 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -518051 "," -281383 "
3.04.04," Outras Receitas Operacionais "," 56708 "," 52128 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 523740 "," 481164 "
3.06," Resultado Financeiro "," -425932 "," -405344 "
3.06.01," Receitas Financeiras "," 952201 "," 400972 "
3.06.02," Despesas Financeiras "," -1378133 "," -806316 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 97808 "," 75820 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -14406 "," -26896 "
3.08.01," Corrente "," 487 "," 0 "
3.08.02," Diferido "," -14893 "," -26896 "
3.09," Resultado Líquido das Operações Continuadas "," 83402 "," 48924 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 83402 "," 48924 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.50051 "," 0.29360 "
3.99.02," Lucro Diluído por Ação "," "," "
