Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 329 "," 272 "," 545 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," 329 "," 272 "," 545 "
3.04," Despesas/Receitas Operacionais "," 74 "," -12546 "," -10134 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," 74 "," -1081 "," -1258 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 267 "," 1550 "
3.04.05," Outras Despesas Operacionais "," 0 "," -11732 "," -10426 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 403 "," -12274 "," -9589 "
3.06," Resultado Financeiro "," 0 "," -2526996 "," -2063200 "
3.06.01," Receitas Financeiras "," 0 "," 1597 "," 2380 "
3.06.02," Despesas Financeiras "," 0 "," -2528593 "," -2065580 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 403 "," -2539270 "," -2072789 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 887 "," 887 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 0 "," 887 "," 887 "
3.09," Resultado Líquido das Operações Continuadas "," 403 "," -2538383 "," -2071902 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 403 "," -2538383 "," -2071902 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -2471401 "," -2020865 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," -66982 "," -51037 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
