Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 386550 "," 251771 "," 299194 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -293935 "," -188051 "," -234512 "
3.03," Resultado Bruto "," 92615 "," 63720 "," 64682 "
3.04," Despesas/Receitas Operacionais "," -48122 "," -31705 "," -37608 "
3.04.01," Despesas com Vendas "," -21768 "," -17008 "," -15828 "
3.04.01.01," Materiais "," -77 "," -58 "," -75 "
3.04.01.02," Mão de Obra "," -3756 "," -3568 "," -3606 "
3.04.01.03," Gastos Gerais Fixos "," -5940 "," -7004 "," -12147 "
3.04.01.04," Comissões "," -2218 "," -2801 "," 0 "
3.04.01.05," Despesas variáveis de venda "," -9777 "," -3577 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -31992 "," -23914 "," -20701 "
3.04.02.01," Materiais "," -1246 "," -749 "," -384 "
3.04.02.02," Mão de Obra "," -13463 "," -9488 "," -5787 "
3.04.02.03," Gastos Gerais "," -12383 "," -9145 "," -9767 "
3.04.02.04," Remuneração Administradores "," -4900 "," -4532 "," -4763 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 9370 "," 17673 "," 3111 "
3.04.05," Outras Despesas Operacionais "," -3732 "," -8456 "," -4190 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 44493 "," 32015 "," 27074 "
3.06," Resultado Financeiro "," -3375 "," -1546 "," -7622 "
3.06.01," Receitas Financeiras "," 6110 "," 14353 "," 5059 "
3.06.02," Despesas Financeiras "," -9485 "," -15899 "," -12681 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 41118 "," 30469 "," 19452 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -4805 "," -5227 "," -2602 "
3.08.01," Corrente "," -4084 "," -5484 "," -4496 "
3.08.02," Diferido "," -721 "," 257 "," 1894 "
3.09," Resultado Líquido das Operações Continuadas "," 36313 "," 25242 "," 16850 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 36313 "," 25242 "," 16850 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 25242 "," 16850 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.52740 "," 1.06170 "," 0.70880 "
3.99.01.02," PN "," 1.68010 "," 1.16790 "," 0.77960 "
3.99.02," Lucro Diluído por Ação "," "," "," "
