Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1123125 "," 683423 "," 488671 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -632075 "," -456079 "," -420101 "
3.03," Resultado Bruto "," 491050 "," 227344 "," 68570 "
3.04," Despesas/Receitas Operacionais "," -145401 "," -38730 "," -31169 "
3.04.01," Despesas com Vendas "," -94141 "," -60499 "," -50698 "
3.04.02," Despesas Gerais e Administrativas "," -96855 "," -82320 "," -69174 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," 0 "," 10233 "
3.04.04," Outras Receitas Operacionais "," 171829 "," 71411 "," 71253 "
3.04.05," Outras Despesas Operacionais "," -126234 "," 32678 "," -3549 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," 0 "," 10766 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 345649 "," 188614 "," 37401 "
3.06," Resultado Financeiro "," 1375 "," 5037 "," 7038 "
3.06.01," Receitas Financeiras "," 38721 "," 43850 "," 42053 "
3.06.02," Despesas Financeiras "," -37346 "," -38813 "," -35015 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 347024 "," 193651 "," 44439 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -77578 "," -34918 "," -57065 "
3.08.01," Corrente "," -79409 "," -22457 "," -16729 "
3.08.02," Diferido "," 1831 "," -12461 "," -40336 "
3.09," Resultado Líquido das Operações Continuadas "," 269446 "," 158733 "," -12626 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 269446 "," 158733 "," -12626 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 269377 "," 158751 "," -12647 "
3.11.02," Atribuído a Sócios Não Controladores "," 69 "," -18 "," 21 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 4.36120 "," 3.07230 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 4.36120 "," 3.07230 "," -0.39750 "
