Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2582166 "," 1670789 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1833869 "," -1190880 "
3.03," Resultado Bruto "," 748297 "," 479909 "
3.04," Despesas/Receitas Operacionais "," -473113 "," -239929 "
3.04.01," Despesas com Vendas "," -237211 "," -147918 "
3.04.02," Despesas Gerais e Administrativas "," -187216 "," -146339 "
3.04.02.01," Despesas Gerais e Administrativas "," -176984 "," -139776 "
3.04.02.02," Honorários da Administração "," -10232 "," -6563 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 71173 "," 153615 "
3.04.05," Outras Despesas Operacionais "," -120412 "," -99287 "
3.04.06," Resultado de Equivalência Patrimonial "," 553 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 275184 "," 239980 "
3.06," Resultado Financeiro "," -49145 "," 14573 "
3.06.01," Receitas Financeiras "," 236302 "," 292409 "
3.06.01.01," Receitas Financeiras "," 193212 "," 262129 "
3.06.01.02," Correção Monetária "," 43090 "," 30280 "
3.06.02," Despesas Financeiras "," -285447 "," -277836 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 226039 "," 254553 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -15417 "," -72507 "
3.08.01," Corrente "," -20809 "," -84384 "
3.08.02," Diferido "," 5392 "," 11877 "
3.09," Resultado Líquido das Operações Continuadas "," 210622 "," 182046 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 210622 "," 182046 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 211228 "," 188367 "
3.11.02," Atribuído a Sócios Não Controladores "," -606 "," -6321 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.98440 "," 0.84840 "
3.99.02," Lucro Diluído por Ação "," "," "
