Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 46123 "," 36157 "," 90970 "
3.01.01," Receita de Venda de Bens e/ou Seviços "," 46123 "," 36157 "," 90970 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -18102 "," -18779 "," -31198 "
3.02.01," Custo dos Bens e/ou Serviços Vendidos "," -18102 "," -18779 "," -31198 "
3.03," Resultado Bruto "," 28021 "," 17378 "," 59772 "
3.04," Despesas/Receitas Operacionais "," -57355 "," -86083 "," -166391 "
3.04.01," Despesas com Vendas "," -2926 "," -2875 "," -6136 "
3.04.02," Despesas Gerais e Administrativas "," -49390 "," -81412 "," -155498 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6043 "," 1746 "," 1172 "
3.04.05," Outras Despesas Operacionais "," -13618 "," -7227 "," -7357 "
3.04.06," Resultado de Equivalência Patrimonial "," 2536 "," 3685 "," 1428 "
3.04.06.01," Resultado de Equivalência Patrimonial "," -1251 "," -24 "," -101 "
3.04.06.02," Participação de Acionistas Não Controladores "," 3787 "," 3709 "," 1529 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -29334 "," -68705 "," -106619 "
3.06," Resultado Financeiro "," -10369 "," -15467 "," -24688 "
3.06.01," Receitas Financeiras "," 35013 "," 19007 "," 29004 "
3.06.02," Despesas Financeiras "," -45382 "," -34474 "," -53692 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -39703 "," -84172 "," -131307 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 11970 "," 1816 "," 1812 "
3.08.01," Corrente "," -9370 "," 0 "," -4 "
3.08.02," Diferido "," 21340 "," 1816 "," 1816 "
3.09," Resultado Líquido das Operações Continuadas "," -27733 "," -82356 "," -129495 "
3.10," Resultado Líquido de Operações Descontinuadas "," -12206 "," -8418 "," -7136 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -12206 "," -8418 "," -7136 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -39939 "," -90774 "," -136631 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -90774 "," -136631 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -2.17390 "," -4.94080 "," -7.43675 "
3.99.02," Lucro Diluído por Ação "," "," "," "
