Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1383499 "," 973150 "," 765506 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -936710 "," -674321 "," -556808 "
3.03," Resultado Bruto "," 446789 "," 298829 "," 208698 "
3.04," Despesas/Receitas Operacionais "," -235241 "," -191961 "," -104205 "
3.04.01," Despesas com Vendas "," -110895 "," -91055 "," -85621 "
3.04.02," Despesas Gerais e Administrativas "," -128644 "," -108210 "," -97913 "
3.04.02.01," Gerais e administrativas "," -85846 "," -74005 "," -70138 "
3.04.02.02," Partipação e honorários da administração "," -15721 "," -11687 "," -7305 "
3.04.02.03," Pesquisa e desenvolvimento "," -27077 "," -22518 "," -20470 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 4298 "," 7304 "," 79329 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 211548 "," 106868 "," 104493 "
3.06," Resultado Financeiro "," 1718 "," 62277 "," 61600 "
3.06.01," Receitas Financeiras "," 15718 "," 74049 "," 69942 "
3.06.01.01," Receitas financeiras "," 12332 "," 69529 "," 69942 "
3.06.01.02," Variação cambial, líquida "," 3386 "," 4520 "," 0 "
3.06.02," Despesas Financeiras "," -14000 "," -11772 "," -8342 "
3.06.02.01," Despesas financeiras "," -14000 "," -11772 "," -4741 "
3.06.02.02," Variação cambial, líquida "," 0 "," 0 "," -3601 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 213266 "," 169145 "," 166093 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -9118 "," 5554 "," -36183 "
3.08.01," Corrente "," 3434 "," 6220 "," -20652 "
3.08.02," Diferido "," -12552 "," -666 "," -15531 "
3.09," Resultado Líquido das Operações Continuadas "," 204148 "," 174699 "," 129910 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 204148 "," 174699 "," 129910 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 203774 "," 174477 "," 129664 "
3.11.02," Atribuído a Sócios Não Controladores "," 374 "," 222 "," 246 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.78000 "," 2.69000 "," 2.06000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.78000 "," 2.69000 "," 2.06000 "
