Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4245 "," 28984 "," 174756 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -65022 "," -35377 "," -265659 "
3.03," Resultado Bruto "," -60777 "," -6393 "," -90903 "
3.04," Despesas/Receitas Operacionais "," -139939 "," -141077 "," -199978 "
3.04.01," Despesas com Vendas "," -12116 "," -66648 "," -20702 "
3.04.02," Despesas Gerais e Administrativas "," -34983 "," -29233 "," -39042 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6648 "," 28696 "," 2876 "
3.04.05," Outras Despesas Operacionais "," -90898 "," -66596 "," -79169 "
3.04.06," Resultado de Equivalência Patrimonial "," -8590 "," -7296 "," -63941 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -200716 "," -147470 "," -290881 "
3.06," Resultado Financeiro "," 9021 "," -8902 "," -109253 "
3.06.01," Receitas Financeiras "," 19346 "," 27731 "," 14549 "
3.06.02," Despesas Financeiras "," -10325 "," -36633 "," -123802 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -191695 "," -156372 "," -400134 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1544 "," -14571 "," 4125 "
3.08.01," Corrente "," -2959 "," -14660 "," -7890 "
3.08.02," Diferido "," 1415 "," 89 "," 12015 "
3.09," Resultado Líquido das Operações Continuadas "," -193239 "," -170943 "," -396009 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -193239 "," -170943 "," -396009 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -188918 "," -168657 "," -374183 "
3.11.02," Atribuído a Sócios Não Controladores "," -4321 "," -2286 "," -21826 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.79570 "," -1.60310 "," -3.55670 "
3.99.02," Lucro Diluído por Ação "," "," "," "
