Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 775499 "," -669960 "," 722798 "
3.01.01," Venda de Produtos e Serviços "," -347262 "," -143983 "," -5474 "
3.01.02," Receita de Gestão de Fundos, Performance e ganhos (perdas) de capital "," 20656 "," 24211 "," 38487 "
3.01.03," Dividendos "," 4992 "," 1061 "," 40929 "
3.01.04," Consultoria e outros serviços "," 5 "," 596 "," 2960 "
3.01.05," (Desvalorização) valorização no valor justo de investimentos "," 1095769 "," -695330 "," 768820 "
3.01.06," Reversão do valor justo não realizado na alienação de investimentos "," 0 "," 143485 "," -125795 "
3.01.07," Taxa de performance "," 1339 "," 0 "," 2871 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," 775499 "," -669960 "," 722798 "
3.04," Despesas/Receitas Operacionais "," -132780 "," -89261 "," -149299 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -161605 "," -86050 "," -102678 "
3.04.02.01," Despesas gerais e administrativas "," -161605 "," -86050 "," -102678 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 28825 "," -3211 "," -46621 "
3.04.05.01," Bonificações, líquidas "," -32264 "," -13769 "," -20863 "
3.04.05.02," Provisão para contingências "," 61089 "," -18332 "," -25758 "
3.04.05.03," Carried interest "," "," "," "
3.04.05.04," Bonificação e taxa de performance não realizado "," 0 "," 28890 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 642719 "," -759221 "," 573499 "
3.06," Resultado Financeiro "," -29782 "," -69696 "," -22368 "
3.06.01," Receitas Financeiras "," 15408 "," 26046 "," 26045 "
3.06.01.01," Receitas financeiras "," 15408 "," 26046 "," 26045 "
3.06.01.02," Ganhos não realizados com instrumentos derivativos "," "," "," "
3.06.02," Despesas Financeiras "," -45190 "," -95742 "," -48413 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 612937 "," -828917 "," 551131 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1747 "," -1630 "," -3612 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 611190 "," -830547 "," 547519 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 611190 "," -830547 "," 547519 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 535317 "," -388598 "," 298802 "
3.11.02," Atribuído a Sócios Não Controladores "," 75873 "," -441949 "," 248717 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
