Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3615096 "," 2402578 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2620791 "," -1775649 "
3.03," Resultado Bruto "," 994305 "," 626929 "
3.04," Despesas/Receitas Operacionais "," -271684 "," -433326 "
3.04.01," Despesas com Vendas "," -236018 "," -166697 "
3.04.02," Despesas Gerais e Administrativas "," -109839 "," -95383 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," 70900 "," -171109 "
3.04.05.01," Despesas com desenvolvimento de tecnologia e produtos "," -51518 "," -64089 "
3.04.05.02," Outras despesas "," 74644 "," -147929 "
3.04.05.03," Ganho de variação monetária "," 44080 "," 40053 "
3.04.05.04," Perdas por redução ao valor recuperável de contas a receber "," 3694 "," 856 "
3.04.06," Resultado de Equivalência Patrimonial "," 3273 "," -137 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 722621 "," 193603 "
3.06," Resultado Financeiro "," -8926 "," -85983 "
3.06.01," Receitas Financeiras "," 178086 "," 216253 "
3.06.02," Despesas Financeiras "," -187012 "," -302236 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 713695 "," 107620 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -147075 "," 14598 "
3.08.01," Corrente "," -89597 "," -38257 "
3.08.02," Diferido "," -57478 "," 52855 "
3.09," Resultado Líquido das Operações Continuadas "," 566620 "," 122218 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 566620 "," 122218 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 566858 "," 124527 "
3.11.02," Atribuído a Sócios Não Controladores "," -238 "," -2309 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 4.41790 "," 0.97050 "
3.99.01.02," PN "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 4.41790 "," 0.97050 "
3.99.02.02," PN "," "," "
