Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1985 "," 1626 "," 1358 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -184 "," -150 "," -126 "
3.03," Resultado Bruto "," 1801 "," 1476 "," 1232 "
3.04," Despesas/Receitas Operacionais "," -2572 "," 495 "," 1769 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2862 "," -2166 "," -2102 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 290 "," 2661 "," 3871 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -771 "," 1971 "," 3001 "
3.06," Resultado Financeiro "," -6908 "," -2648 "," -3331 "
3.06.01," Receitas Financeiras "," "," "," "
3.06.02," Despesas Financeiras "," -6908 "," -2648 "," -3331 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -7679 "," -677 "," -330 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -7679 "," -677 "," -330 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -7679 "," -677 "," -330 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -1.15970 "," -0.10220 "," -0.04984 "
3.99.02," Lucro Diluído por Ação "," "," "," "
