Ticker,2019 MC,2020 MC,2021 MC
NEXP3,779909212.60643,290813606.303215,145406803.1516075
COCE3,3301149253.0823374,4888838883.415277,4209840121.5872684
VBBR3,29476201598.107975,22717024077.51921,24001047010.91349
ALSO3,12935265698.2321,7525363299.000771,5635251319.1687
FRAS3,1451449785.8379183,2623117644.9957347,3689884979.566343
BAHI3,463874857.3379318,411228845.1636029,353113697.61994183
DOHL3,470185144.2138672,1200822770.4101562,1149354049.0234375
SBFG3,8506918558.345741,7186628823.909929,5443170413.964032
TAEE11,24661104499.45073,29500782938.615364,35925557201.32973
BPHA3,70110224.53921226,70110224.53921226,70110224.53921226
EMAE3,641807011.6493281,675581171.4819345,922024406.2123792
ANIM3,3907078066.8934617,4721544346.6083145,3305080892.5319676
BBDC3,249280000291.3961,200626534798.13312,155581188814.00162
ENMT3,6310643265.3515625,5898350291.0625,17671202611.2
PARD3,3361369590.0919337,2827978720.9528275,2447992519.948041
LEVE3,3477556118.0049715,2540001631.1995506,3881963636.5784945
PPLA11,46019801.40924454,597835193.5577393,252897790.3366089
HETA3,811748.3563327789,811748.3563327789,19433376.0
PATI3,381538679.337086,492961238.7958185,1671777705.6992903
JHSF3,4348844110.119587,4851211609.931914,3801670461.6990314
GFSA3,2923090645.3087115,1466602527.8468692,677671524.5088248
SULA11,22332156977.022655,17487877701.371113,11672274380.21105
VIVT3,68377331144.02047,72135113223.72496,80676257222.36931
AGRO3,1660807416.8156211,2254728481.1626663,2855734843.2694454
VIVA3,6761844745.17827,6866447750.328741,6008876735.378852
OIBR3,5217731762.950989,13347685972.503296,4611018632.699341
DXCO3,11466774487.183151,13126439092.528229,14237456875.563076
TELB3,5624679964.034582,4906280160.879863,2467062555.598433
IRBR3,43183310644.949776,10268271804.036457,5046265393.200102
CSAN3,30916449130.915432,34370583768.96438,40520824261.38508
HAGA3,28178297.887325287,19494419.718313217,40997356.33802414
OFSA3,2241641877.103315,2008671586.6668239,1371344167.3096447
CEDO3,77293800.0,99107827.67238617,61749158.491420746
EALT3,282274715.5970131,264761173.51404825,259394137.46227068
GPIV33,498227790.5570638,344561344.1259929,464959791.9378581
EZTC3,10734552868.586115,8951890893.238668,4379348751.325145
MOAR3,1717544790.1525218,2353740189.6342587,4722398444.047326
PFRM3,752794967.1191357,709744843.3242701,723404952.899446
HYPE3,20890981227.34987,20783805360.664585,17830510534.646336
WHRL3,10884815532.473274,10706076284.066612,10644542901.778372
GOAU3,7402964319.506993,8594655383.180086,11517313263.635223
LPSB3,1359692748.4150736,710521521.8017695,318165261.265371
NTCO3,53201409382.767166,72228449052.22438,34986085360.77027
GSHP3,189032761.10595703,106894380.0,65824431.13845825
WIZS3,1919877285.1842291,1196291915.6680472,1272859865.59371
JFEN3,278790610.03303534,455533311.9735718,100995837.74256708
BALM3,100334593.46055023,187369557.1680409,143706574.67687446
CVCB3,9851758301.935457,4628976909.448203,3018506837.135646
EEEL3,3506739183.213359,4777796783.900175,3614812607.7765374
KLBN11,88182994840.625,126757686597.91667,124785773637.49998
RPAD3,494819470.6561639,490013137.86527973,501352273.6858679
LIGT3,9007897705.775846,8959280553.743374,4566249817.142858
TASA3,598738697.512599,1859487830.2810824,2871836639.8517923
B3SA3,75726470258.27386,117329422201.17451,67351372998.68473
AMER3,56825376142.222244,68351363077.92745,28548287572.56529
EQMA3B,5765676821.692177,6157654830.380158,5613800543.538243
BEES3,1846150096.177338,1676919851.7195718,1593398649.9768913
CSRN3,2707740770.4617295,2555919740.340169,2640322124.97511
MDIA3,11641298634.151972,10603651723.251081,7990674262.591393
PTBL3,667103444.6168823,864671087.0239258,1359114805.5240479
GRND3,9631391689.670305,6856237488.969487,7801901437.526961
GEPA3,3791639939.3537216,3673036715.5011177,3021865430.3886924
DASA3,30927893342.162903,39237219217.04311,18485202326.68091
EGIE3,35487976915.8108,32682299855.992004,30741762866.930626
CEPE3,1458065212.5488281,8489528809.619142,8689253262.011719
POSI3,1367796488.9724545,689543468.8511113,1520059549.167353
