Ticker,2018 MC,2019 MC,2020 MC,2021 MC
CEDO3,58399761.63806915,77293800.0,99107827.67238617,61749158.491420746
EALT3,76498267.91381834,272426269.0429687,255523767.10510254,250343984.6923828
GPIV33,365947877.29739696,498227747.0256415,344561314.02079666,464959751.313145
EZTC3,4242064817.623232,10734552941.459316,8951889267.997808,4379348781.055043
MOAR3,1555899835.7549484,1717545168.0568058,2353740195.153335,4722399202.87439
PFRM3,457261838.77897996,752794892.7530338,709744773.2109461,723404881.4366853
HYPE3,16816270197.445988,20587656707.025463,20482038946.56636,17571623313.894676
WHRL3,4136204905.0122995,10389760374.197735,10219150412.561808,10160415646.218601
GOAU3,6174604533.658079,7402964933.28497,8594655387.557354,11517312551.597841
LPSB3,847088066.2994385,1286525357.7899933,672287149.8012543,301044262.7854347
CEDO3,58399761.63806915,77293800.0,99107827.67238617,61749158.491420746
EALT3,76498267.91381834,272426249.6612549,255523767.10510254,250343984.6923828
GPIV33,365947877.29739696,498227747.0256415,344561314.02079666,464959751.313145
EZTC3,4242064817.623232,10734552941.459316,8951890954.009989,4379348781.055043
MOAR3,1555899555.347224,1717544981.1183228,2353740195.153335,4722398455.120459
PFRM3,457261838.77897996,752794892.7530338,709744773.2109461,723404881.4366853
HYPE3,16816268992.726467,20587656707.025463,20482036537.127316,17571624518.6142
WHRL3,4136204543.9941406,10389760374.197735,10219150412.561808,10160415646.218601
GOAU3,6402717426.496466,7676456541.973897,8912172466.878256,11942804777.615639
LPSB3,895263664.0310287,1359692711.9016647,710521502.7213097,318165252.72130966
GSHP3,249798458.58825684,189032761.10595703,106894380.0,65824431.13845825
WIZS3,833167632.0853746,1919877253.388107,1196291895.855612,1272859844.5131917
JFEN3,357693610.03303534,278790610.03303534,455533311.9735718,100995837.74256708
BALM3,94750758.31735004,100334593.46055023,187369557.1680409,143706574.67687446
CVCB3,13630727861.849207,9851758494.654625,4628976999.999813,3018506896.183392
EEEL3,1727934260.3963535,3506739183.213359,4777796783.900175,3614812607.7765374
KLBN11,70946986891.37756,86943563946.95146,124976066300.72223,123031868372.67534
